"customer_id","marital","reliability"
"K473134","Widowed","4"
"W211742","Widowed","5"
"H500107","Separated","2"
"E998043","Separated","3"
"E965565","Widowed","3"
"S332430","Divorced","3"
"L596007","Widowed","3"
"R760429","Divorced","4"
"N954926","Married","3"
"Z164087","Widowed","4"
"Z714373","Divorced","2"
"E862109","Never Married","5"
"S777773","Separated","2"
"K974970","Married","5"
"S411723","Never Married","3"
"C867654","Separated","4"
"V529956","Widowed","2"
"L538003","Divorced","3"
"P120818","Divorced","4"
"H401803","Separated","5"
"W309763","Divorced","3"
"X715086","Widowed","5"
"L72577","Married","4"
"R753498","Separated","3"
"U843827","Never Married","4"
"L152937","Divorced","2"
"D765207","Never Married","4"
"N700604","Widowed","4"
"J316639","Never Married","4"
"Y517622","Married","3"
"P454810","Married","4"
"H757186","Separated","3"
"A653303","Separated","2"
"J307751","Divorced","2"
"N206516","Widowed","3"
"W592004","Separated","3"
"Q445599","Widowed","4"
"P651840","Never Married","5"
"F902621","Married","4"
"K455778","Divorced","2"
"H686155","Married","3"
"G769178","Married","4"
"V150452","Divorced","4"
"P688672","Widowed","4"
"I31591","Divorced","5"
"W339489","Divorced","4"
"Y795644","Never Married","2"
"Z42949","Married","4"
"K702957","Never Married","6"
"U27325","Widowed","4"
"N804575","Widowed","6"
"P54060","Widowed","5"
"L363925","Widowed","3"
"S253484","Never Married","4"
"A859738","Separated","3"
"R548809","Never Married","4"
"U138913","Widowed","4"
"M244790","Divorced","4"
"W610913","Never Married","4"
"H932939","Divorced","3"
"X00931","Separated","3"
"P218828","Never Married","5"
"P365450","Separated","4"
"R912808","Married","3"
"J883265","Married","3"
"L161656","Widowed","3"
"O412044","Separated","4"
"X299129","Divorced","1"
"O987713","Widowed","4"
"I415253","Never Married","1"
"L983845","Separated","3"
"G661518","Widowed","1"
"Z511670","Never Married","4"
"I745729","Never Married","3"
"K814248","Widowed","5"
"K719786","Divorced","5"
"Y874048","Married","3"
"A940721","Widowed","4"
"V402063","Separated","4"
"D770283","Never Married","3"
"Y701439","Married","3"
"Z281810","Widowed","4"
"O403114","Never Married","3"
"B442948","Never Married","3"
"H620644","Widowed","2"
"N573961","Widowed","3"
"I403839","Divorced","3"
"F812880","Widowed","5"
"L74134","Divorced","5"
"B255311","Never Married","4"
"O764702","Widowed","5"
"D269899","Married","4"
"W291881","Widowed","3"
"L409845","Divorced","4"
"L647810","Never Married","2"
"G97647","Never Married","3"
"F519639","Divorced","2"
"J291465","Never Married","4"
"V170205","Separated","3"
"Y472280","Divorced","5"
"Y172017","Separated","5"
"E996692","Divorced","2"
"J207539","Separated","5"
"I797960","Divorced","3"
"Y592744","Widowed","3"
"D391430","Separated","3"
"Q783171","Married","3"
"K796504","Never Married","5"
"F157997","Divorced","5"
"G73581","Separated","4"
"C875992","Married","2"
"S473175","Divorced","4"
"Q585011","Married","3"
"M353309","Married","4"
"F900891","Never Married","4"
"L957640","Divorced","3"
"M521755","Married","3"
"C960228","Widowed","6"
"J12843","Divorced","4"
"P960014","Divorced","4"
"T912154","Widowed","4"
"G696221","Never Married","3"
"W987755","Never Married","4"
"R934959","Divorced","4"
"B264341","Widowed","4"
"Q20365","Widowed","4"
"W415051","Married","3"
"Z477994","Separated","5"
"D195797","Married","5"
"V615478","Separated","5"
"U577089","Separated","2"
"N275150","Separated","3"
"A500103","Separated","5"
"J308893","Divorced","4"
"P892051","Divorced","3"
"L947038","Divorced","3"
"F498478","Separated","4"
"H75117","Married","2"
"H292733","Married","2"
"L124227","Divorced","1"
"Z253470","Separated","4"
"F161487","Separated","3"
"T434750","Widowed","3"
"P43762","Separated","3"
"D309783","Divorced","3"
"B310750","Separated","2"
"T663920","Widowed","3"
"N523308","Separated","4"
"B759427","Divorced","2"
"Y802622","Widowed","5"
"T375340","Never Married","4"
"H782363","Divorced","2"
"Z515622","Widowed","3"
"X286988","Separated","3"
"E634326","Separated","5"
"S785720","Divorced","3"
"A349493","Widowed","4"
"W795143","Divorced","3"
"Y768966","Separated","3"
"H843808","Separated","4"
"A853801","Never Married","4"
"K296336","Never Married","3"
"R851367","Divorced","4"
"V74560","Married","2"
"F383331","Married","5"
"E770575","Separated","4"
"N217934","Separated","3"
"E108315","Separated","2"
"Z274952","Married","5"
"I10685","Separated","4"
"G417957","Widowed","2"
"G777381","Widowed","3"
"J434777","Divorced","5"
"R140732","Never Married","4"
"O536253","Divorced","4"
"N818917","Divorced","5"
"U912904","Separated","2"
"Q895849","Never Married","3"
"K710503","Separated","4"
"X415795","Married","2"
"I634125","Married","2"
"K834421","Separated","4"
"V777004","Separated","5"
"G902299","Divorced","5"
"V218370","Divorced","3"
"X415208","Separated","2"
"X788909","Separated","4"
"T898999","Never Married","4"
"Q982792","Married","5"
"Y373477","Separated","4"
"H568978","Never Married","3"
"A795494","Divorced","2"
"J266332","Separated","5"
"V745261","Never Married","4"
"U345949","Never Married","3"
"C841625","Divorced","3"
"D303600","Separated","4"
"F05516","Never Married","4"
"B91498","Widowed","4"
"X757783","Widowed","4"
"P464171","Widowed","4"
"T843460","Never Married","4"
"Z85067","Never Married","3"
"A378200","Separated","4"
"W314163","Divorced","2"
"Q738259","Widowed","3"
"E856035","Separated","3"
"D960842","Divorced","2"
"X618114","Separated","3"
"T446100","Never Married","5"
"S860728","Separated","5"
"I273760","Separated","4"
"W963695","Separated","4"
"D878040","Divorced","2"
"N82795","Never Married","3"
"G868770","Married","4"
"J444660","Widowed","3"
"A751773","Married","3"
"R183041","Widowed","5"
"W76958","Divorced","3"
"B813081","Never Married","3"
"L285305","Never Married","3"
"Z592090","Never Married","3"
"M200082","Divorced","6"
"A04204","Married","1"
"A410868","Married","3"
"F996979","Separated","3"
"K907258","Divorced","3"
"E376270","Widowed","2"
"M896880","Never Married","3"
"T155621","Widowed","5"
"F744495","Separated","3"
"Y424748","Divorced","4"
"C883607","Never Married","5"
"X987521","Married","5"
"U657488","Married","3"
"L825010","Married","4"
"S193057","Married","2"
"A723167","Married","4"
"S34743","Widowed","3"
"Z976510","Separated","4"
"D880681","Never Married","3"
"Y998384","Married","3"
"N486975","Married","4"
"E79622","Divorced","4"
"X931864","Separated","5"
"D125547","Married","4"
"T522390","Married","3"
"F535092","Married","3"
"L623504","Never Married","3"
"G775790","Never Married","2"
"D331766","Widowed","3"
"G922869","Never Married","3"
"P277880","Never Married","2"
"K377483","Married","4"
"R922241","Widowed","3"
"I156558","Widowed","4"
"G95859","Divorced","4"
"J878701","Separated","4"
"C634232","Never Married","4"
"M376642","Widowed","3"
"G854983","Widowed","5"
"G31296","Married","3"
"Q139076","Divorced","4"
"S636055","Divorced","4"
"A912671","Married","4"
"M102949","Widowed","2"
"L953869","Widowed","3"
"Z471500","Widowed","5"
"V676238","Widowed","4"
"Q764408","Separated","6"
"P327630","Married","2"
"E740766","Widowed","4"
"Y34832","Never Married","4"
"Y608563","Married","5"
"U407050","Never Married","4"
"J684160","Separated","4"
"B988280","Never Married","3"
"B545599","Never Married","4"
"F43067","Divorced","3"
"Q900168","Widowed","5"
"D346820","Divorced","3"
"Q908346","Never Married","4"
"P08547","Married","2"
"G851746","Separated","3"
"B539992","Married","3"
"M993150","Separated","2"
"X564691","Widowed","3"
"T13420","Married","3"
"P591493","Widowed","2"
"K133105","Separated","3"
"X403079","Divorced","3"
"V958859","Widowed","2"
"X466847","Separated","5"
"X52491","Never Married","4"
"J474988","Married","1"
"F888948","Separated","2"
"A756392","Never Married","5"
"S721167","Divorced","3"
"F83510","Separated","4"
"O594216","Never Married","4"
"I747598","Married","4"
"K294952","Separated","3"
"E930365","Separated","4"
"H515536","Separated","4"
"V733953","Never Married","2"
"G231952","Never Married","3"
"U241553","Never Married","2"
"J874798","Never Married","3"
"O261091","Widowed","4"
"U89471","Never Married","3"
"H839237","Married","3"
"S509582","Married","4"
"P968345","Widowed","2"
"W659895","Never Married","5"
"W365151","Never Married","3"
"E135599","Married","3"
"L633556","Widowed","2"
"S465851","Never Married","3"
"Q668333","Divorced","3"
"L314037","Separated","4"
"H53122","Never Married","3"
"C313073","Married","3"
"R974562","Never Married","4"
"P942401","Married","4"
"H715023","Separated","3"
"T164384","Divorced","2"
"E80213","Separated","3"
"P420577","Divorced","5"
"R176145","Married","4"
"S914593","Separated","4"
"G755151","Widowed","4"
"E955361","Widowed","5"
"I58563","Widowed","4"
"C167419","Never Married","4"
"V911639","Divorced","4"
"J470682","Married","3"
"F963846","Never Married","4"
"B733858","Never Married","4"
"L671609","Separated","5"
"G122279","Never Married","2"
"U479043","Never Married","5"
"T73830","Widowed","3"
"U369496","Never Married","4"
"H151913","Divorced","4"
"B565569","Separated","4"
"E813446","Divorced","4"
"E229514","Married","4"
"V585340","Never Married","5"
"V540566","Married","5"
"V275789","Never Married","3"
"N885732","Never Married","4"
"L682277","Widowed","5"
"D835743","Divorced","2"
"K886740","Never Married","5"
"O886488","Never Married","5"
"C48049","Separated","4"
"T00947","Never Married","4"
"N773734","Married","6"
"M771027","Divorced","3"
"Z293106","Widowed","3"
"Q701785","Separated","4"
"I472641","Widowed","3"
"A712256","Never Married","3"
"T872338","Never Married","3"
"O760284","Divorced","1"
"Q288900","Married","4"
"H969956","Separated","3"
"T302014","Widowed","3"
"W453618","Separated","2"
"K591268","Separated","4"
"J964772","Divorced","4"
"D578534","Widowed","3"
"S527871","Separated","4"
"Q989344","Separated","5"
"E410356","Widowed","2"
"Y618105","Widowed","2"
"V469262","Widowed","4"
"E219689","Separated","4"
"P463800","Never Married","3"
"R582802","Widowed","4"
"Y531744","Married","4"
"B840629","Separated","3"
"Z719846","Married","2"
"S35451","Separated","3"
"H298416","Widowed","3"
"F960418","Separated","3"
"B209742","Widowed","4"
"Q273317","Divorced","2"
"R346421","Married","5"
"Z473183","Divorced","3"
"Q393526","Separated","4"
"I196323","Widowed","2"
"K729834","Widowed","2"
"P341049","Widowed","1"
"Y164259","Widowed","3"
"I841051","Married","4"
"B919135","Divorced","4"
"S54573","Never Married","3"
"B989601","Widowed","4"
"L619270","Separated","1"
"F707493","Separated","4"
"R136473","Separated","3"
"Z379988","Widowed","3"
"A733457","Married","5"
"A357886","Widowed","5"
"T558224","Never Married","3"
"X675253","Divorced","3"
"H755540","Divorced","5"
"D479344","Divorced","3"
"J112293","Widowed","3"
"R996865","Widowed","4"
"P706486","Widowed","6"
"J792155","Never Married","4"
"U158712","Never Married","4"
"L452982","Divorced","3"
"R619213","Never Married","4"
"Y983317","Separated","3"
"A96078","Widowed","4"
"H948218","Married","4"
"B87304","Widowed","3"
"Q472250","Married","4"
"W390315","Never Married","4"
"T846662","Never Married","3"
"U588522","Separated","3"
"Z392431","Separated","3"
"L984058","Widowed","3"
"J641339","Widowed","4"
"X879031","Never Married","2"
"O507534","Never Married","3"
"I56280","Married","3"
"B164687","Never Married","3"
"S769641","Never Married","2"
"N574445","Married","3"
"O438463","Married","3"
"L743816","Widowed","2"
"X422065","Widowed","2"
"D698441","Separated","3"
"T462322","Never Married","4"
"V397454","Widowed","4"
"R394240","Divorced","3"
"I959338","Married","4"
"E719559","Divorced","4"
"J528795","Separated","4"
"D728807","Never Married","5"
"R30010","Divorced","3"
"T719053","Married","4"
"E807714","Never Married","4"
"T581683","Married","4"
"F504510","Married","3"
"V354248","Separated","3"
"N950747","Widowed","6"
"W67300","Divorced","2"
"D457155","Married","3"
"Z757676","Widowed","4"
"E330288","Never Married","3"
"O186531","Never Married","3"
"U225462","Never Married","4"
"X944341","Married","5"
"C518382","Widowed","4"
"H630459","Separated","3"
"A744958","Separated","3"
"N451468","Separated","3"
"W483045","Never Married","4"
"Y184122","Never Married","3"
"R736548","Never Married","4"
"H654233","Married","4"
"P106092","Married","3"
"M67658","Widowed","3"
"N147187","Separated","4"
"S297647","Widowed","3"
"P493147","Never Married","5"
"U782508","Separated","3"
"E682726","Divorced","4"
"X688103","Widowed","4"
"R556050","Divorced","4"
"O03884","Widowed","4"
"O464940","Never Married","3"
"Q242803","Separated","3"
"M628541","Separated","5"
"S207969","Widowed","4"
"C810403","Separated","5"
"Y120307","Divorced","4"
"V866500","Widowed","4"
"X343919","Divorced","5"
"K641869","Widowed","2"
"U113610","Married","4"
"G92465","Divorced","3"
"E661180","Never Married","3"
"T202681","Never Married","3"
"S78003","Divorced","3"
"S431288","Divorced","4"
"Z461920","Widowed","4"
"R03630","Divorced","3"
"P789306","Married","4"
"Q407375","Widowed","4"
"M589403","Married","4"
"B200191","Never Married","4"
"X481143","Widowed","5"
"H991225","Never Married","2"
"T540942","Divorced","4"
"O763178","Divorced","3"
"W565969","Never Married","5"
"C657224","Divorced","5"
"W518389","Never Married","1"
"S256921","Divorced","3"
"D285013","Married","3"
"H305043","Widowed","3"
"C17948","Married","2"
"R692612","Divorced","1"
"I353809","Divorced","4"
"W399323","Widowed","5"
"W218282","Married","4"
"U587093","Widowed","3"
"R447088","Widowed","4"
"Y814048","Separated","3"
"G939272","Never Married","2"
"W170124","Married","5"
"Y05539","Separated","4"
"C708546","Widowed","2"
"V447329","Never Married","3"
"O181132","Separated","2"
"H187434","Widowed","3"
"Y546738","Divorced","2"
"O847856","Divorced","4"
"D672232","Widowed","5"
"X486785","Never Married","2"
"B609623","Married","6"
"A498648","Divorced","3"
"L766709","Divorced","2"
"S461725","Never Married","4"
"A879207","Never Married","3"
"H750197","Divorced","3"
"Q994964","Never Married","3"
"L180827","Never Married","5"
"X224369","Divorced","3"
"M552851","Widowed","5"
"L296464","Divorced","3"
"W571315","Widowed","4"
"H523291","Separated","3"
"R261202","Widowed","4"
"E313335","Widowed","1"
"P911138","Widowed","3"
"N843105","Married","2"
"R912684","Never Married","2"
"A980855","Married","3"
"G706993","Separated","4"
"R860464","Separated","5"
"C774228","Widowed","2"
"P451776","Separated","4"
"X400925","Married","5"
"T79206","Widowed","3"
"I709386","Separated","2"
"V562502","Widowed","5"
"L390014","Married","4"
"Q202776","Separated","3"
"V825508","Married","4"
"U747129","Divorced","4"
"M830301","Married","3"
"E793032","Widowed","4"
"T281937","Divorced","3"
"Y595352","Divorced","4"
"F876671","Widowed","4"
"R197427","Divorced","3"
"Z38983","Divorced","4"
"J611355","Never Married","3"
"H455492","Separated","3"
"A768649","Never Married","4"
"M82512","Separated","4"
"T108863","Widowed","4"
"V611969","Never Married","5"
"O344933","Never Married","3"
"O479736","Divorced","3"
"G632313","Married","5"
"X685005","Never Married","3"
"I237134","Never Married","2"
"X496118","Married","4"
"W106729","Never Married","4"
"K940748","Separated","4"
"O270789","Widowed","3"
"I636533","Separated","1"
"A945949","Divorced","3"
"E161106","Divorced","3"
"M957583","Never Married","2"
"L177821","Married","3"
"X365608","Married","3"
"Y653949","Separated","3"
"X132040","Divorced","4"
"R676234","Divorced","4"
"O632318","Separated","3"
"O744533","Married","4"
"R607131","Married","5"
"Z842303","Separated","2"
"L912943","Married","2"
"N715806","Widowed","3"
"A385989","Divorced","4"
"W550892","Never Married","5"
"W309935","Separated","3"
"Y714473","Married","4"
"N762754","Married","3"
"U517091","Divorced","3"
"P181267","Separated","3"
"I916859","Never Married","2"
"C299043","Married","4"
"Y184043","Separated","4"
"N304752","Widowed","4"
"E996160","Separated","4"
"Z888785","Married","2"
"Q345021","Divorced","3"
"J473225","Separated","3"
"L380389","Widowed","2"
"R00362","Divorced","2"
"D760092","Married","2"
"N233282","Married","4"
"N871301","Widowed","4"
"B692438","Divorced","3"
"G470445","Divorced","5"
"P726191","Married","4"
"D904626","Separated","4"
"P841552","Divorced","3"
"D419396","Divorced","1"
"U848705","Married","3"
"G140743","Widowed","3"
"N302415","Divorced","5"
"X688456","Never Married","3"
"H941836","Widowed","4"
"F130726","Widowed","3"
"P324088","Separated","6"
"O851847","Never Married","4"
"W369474","Divorced","4"
"A609766","Married","2"
"I668927","Never Married","4"
"N761562","Separated","2"
"K133355","Married","3"
"Q766801","Widowed","3"
"A977827","Separated","3"
"M336127","Never Married","2"
"D926198","Widowed","4"
"G390885","Widowed","5"
"B51907","Divorced","3"
"V644029","Separated","5"
"R729456","Widowed","4"
"L603563","Divorced","3"
"H677214","Divorced","4"
"P824126","Married","3"
"D59575","Widowed","4"
"T359597","Widowed","4"
"R756541","Widowed","4"
"Z694986","Separated","6"
"V398404","Widowed","3"
"M414548","Divorced","4"
"V754108","Divorced","4"
"M50230","Married","3"
"Z99512","Divorced","3"
"H245198","Married","2"
"I277938","Never Married","3"
"V583631","Never Married","2"
"Y163128","Separated","2"
"A312093","Never Married","4"
"P877356","Never Married","2"
"X556472","Widowed","2"
"C139501","Divorced","3"
"Y440539","Divorced","3"
"Z215431","Married","3"
"Y211180","Divorced","3"
"I961815","Widowed","5"
"M302337","Widowed","3"
"N727282","Divorced","5"
"H279354","Separated","3"
"V354023","Separated","4"
"N326688","Separated","5"
"D816425","Divorced","4"
"J775742","Separated","4"
"W667533","Divorced","3"
"C717657","Widowed","2"
"G715462","Separated","4"
"K309886","Separated","4"
"E777441","Divorced","3"
"K797257","Never Married","2"
"K105167","Never Married","2"
"W968177","Married","2"
"Y247582","Separated","4"
"B586243","Separated","3"
"L93551","Divorced","4"
"J582916","Divorced","4"
"M592587","Separated","3"
"X207278","Married","3"
"O895899","Married","5"
"K529382","Divorced","4"
"S80319","Separated","4"
"Z550529","Separated","3"
"U286430","Married","4"
"W487861","Separated","3"
"S274767","Separated","3"
"H722182","Separated","3"
"Z135438","Married","3"
"S859045","Widowed","2"
"A125688","Married","2"
"O444447","Divorced","5"
"M183563","Divorced","2"
"V891124","Never Married","4"
"E249577","Widowed","3"
"U784168","Separated","3"
"Z655607","Married","2"
"I119237","Divorced","3"
"A782700","Separated","4"
"V544721","Divorced","2"
"F195302","Married","4"
"U531334","Married","5"
"J345644","Separated","3"
"E43004","Widowed","3"
"I664660","Widowed","5"
"G119666","Never Married","2"
"U518400","Married","6"
"Z461269","Married","3"
"P456447","Married","4"
"P973504","Widowed","4"
"E267017","Widowed","4"
"H450608","Separated","4"
"K364420","Widowed","3"
"B490537","Never Married","5"
"E396045","Divorced","5"
"O391114","Married","1"
"W333236","Divorced","4"
"S231734","Separated","2"
"W593299","Married","3"
"P947144","Never Married","4"
"U721877","Separated","2"
"J797305","Widowed","4"
"M584587","Widowed","2"
"E110276","Widowed","5"
"W173695","Never Married","4"
"Y162634","Divorced","4"
"C30368","Separated","3"
"J410708","Divorced","4"
"R846970","Divorced","4"
"M803578","Divorced","3"
"B110246","Never Married","2"
"N471149","Never Married","3"
"O211985","Divorced","3"
"P526389","Never Married","1"
"E555705","Never Married","3"
"L982121","Separated","3"
"P354965","Divorced","2"
"N729642","Widowed","4"
"L390162","Widowed","3"
"H176781","Never Married","5"
"L10400","Married","3"
"R255244","Separated","2"
"W671969","Divorced","3"
"A259316","Never Married","2"
"W415781","Separated","4"
"O952685","Widowed","7"
